행정구역명,고속국도,일반국도,지방도,시도,군도,구도
서울,27610,173120,,1029514,,7041672	
부산,68300,100782,29730,823554,155753,2193598	
대구,96840,144793,11604,794833,143300,1675809	
인천,109480,75613,42047,723792,445225,1847820
광주,26370,86569,16060,575607,,1154429	
대전,76140,83887,30446,499995,,1449920	
울산,70620,158565,17260,455836,628541,806232
세종,18530,70961,25450,244789,,
경기,826504,1616299,2389253,7647396,462709,
강원,472020,1936332,1579191,1645641,3133264,
충북,388406,972058,1408373,1378011,2287296,
충남,429990,1263024,1631560,2265948,1163794,
전북,418420,1426150,1779573,1901149,2238754,
전남,416690,1962402,2073112,1935501,3097588,
경북,781270,2262462,2945623,2588291,3702070,
경남,540150,1518409,2173564,3737927,2950827,
제주,,,690875,1480168,696110,
